n_steps,scenario_id,score_drop,score_nw,score_paraphrase,score_rename,score_w,success_nw,success_w,task
5,tool_session_0000,1.2253939926508777,1.0759484558255283,1.0376188319734605,1.1811322761308984,1.1811322761308984,1.0,0.6,tool_selection
5,tool_session_0001,1.1014433903616638,1.062939227087468,1.1095398664409626,1.1227161023441976,1.1227161023441976,1.0,0.8,tool_selection
5,tool_session_0002,0.9706767226230941,1.0262484390072821,0.9809688375496819,1.0262484390072821,1.0262484390072821,1.0,1.0,tool_selection
5,tool_session_0003,1.0490775390871205,1.079758409054491,1.123673927117355,1.1054931029987218,1.1054931029987218,1.0,0.6,tool_selection
5,tool_session_0004,1.2030230306749914,0.9778818880539442,1.1051971967199687,1.137852883889406,1.137852883889406,1.0,0.6,tool_selection
5,tool_session_0005,1.04768955812795,1.0168844239260078,1.0623044734277405,1.0900519936527726,1.0900519936527726,1.0,0.6,tool_selection
5,tool_session_0006,1.078223864001647,1.0415454734005039,1.125463803071875,1.078223864001647,1.078223864001647,1.0,0.6,tool_selection
5,tool_session_0007,1.131577127409153,0.9909385790747061,1.1544131197480105,1.131577127409153,1.131577127409153,1.0,0.8,tool_selection
5,tool_session_0008,1.227380384297745,1.0340157177334315,1.062517272765763,1.146224892549933,1.146224892549933,1.0,0.6,tool_selection
5,tool_session_0009,0.9058194393437615,1.078371931339764,1.0074415949339237,1.078371931339764,1.078371931339764,1.0,1.0,tool_selection
5,tool_session_0010,1.005912381507018,1.0245306816478232,1.0875199853410384,1.0668932934052693,1.0668932934052693,1.0,0.8,tool_selection
5,tool_session_0011,0.9450970758103727,1.0108156569289233,0.987622163573349,1.0108156569289233,1.0108156569289233,1.0,1.0,tool_selection
5,tool_session_0012,1.0959989258817224,1.0157288441636176,1.0138107254858224,1.0959989258817224,1.0959989258817224,1.0,0.8,tool_selection
5,tool_session_0013,1.1547390074667052,1.0866969901551078,1.0598349872650918,1.127015677007918,1.127015677007918,1.0,0.8,tool_selection
5,tool_session_0014,1.0265604720067116,1.0132189874050765,1.0142726510075,1.0555815991625228,1.0555815991625228,1.0,0.8,tool_selection
5,tool_session_0015,1.0033645960727222,1.0067091451385841,0.9729801408988772,1.0067091451385841,1.0067091451385841,1.0,1.0,tool_selection
5,tool_session_0016,1.1010557233491225,1.0347513045523198,1.191574967863362,1.1879596887035135,1.1879596887035135,1.0,0.4,tool_selection
5,tool_session_0017,1.1583646612526464,1.0120004245314091,0.9914242907782194,1.138873199990234,1.138873199990234,1.0,0.6,tool_selection
5,tool_session_0018,1.1743736119336934,1.0727749058877813,1.0106360257791662,1.1628210085683373,1.1628210085683373,1.0,0.8,tool_selection
5,tool_session_0019,0.9738851237607683,0.9738851237607683,1.0251758190188984,0.9738851237607683,0.9738851237607683,1.0,1.0,tool_selection
5,tool_session_0020,1.1014433903616638,0.9939736806063785,1.083937742144856,1.0690488560581994,1.0690488560581994,1.0,0.8,tool_selection
